track_id,agency,sub_agency,artist_name_en,track_name,release_date,track_type,youtube_video_id,artwork_url,selection_reason,status,platforms,first_seen,last_seen
trk_07f30cd63216,HYBE,ADOR,NewJeans,How Sweet,,chart,Ec0Z1v7jKDQ,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/bf/68/ca/bf68ca64-4acd-543f-bc78-455f11f06105/196922889738_Cover.jpg/300x300bb.jpg,chart:apple|youtube,active,apple|youtube,2026-07-26,2026-08-06
trk_f8712f1e6a5f,HYBE,ADOR,NewJeans,Hurt,,chart,,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/4e/64/34/4e64344b-3ac6-c503-2c41-257a15401416/192641873096_Cover.jpg/300x300bb.jpg,chart:apple,active,apple,2026-07-26,2026-08-03
trk_92d2f00a715a,HYBE,ADOR,NewJeans,Hype Boy,,chart,KrtYasOGibU,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/4e/64/34/4e64344b-3ac6-c503-2c41-257a15401416/192641873096_Cover.jpg/300x300bb.jpg,chart:apple|youtube,active,apple|youtube,2026-07-26,2026-08-06
trk_18d2e827f63d,HYBE,ADOR,NewJeans,New Jeans,,chart,Km71Rr9K-Bw,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/63/e5/e2/63e5e2e4-829b-924d-a1dc-8058a1d69bd4/196922462702_Cover.jpg/300x300bb.jpg,chart:apple|youtube,active,apple|youtube,2026-07-26,2026-08-03
trk_445021acb2a9,HYBE,ADOR,NewJeans,OMG,,chart,_Xs1ZCMfa2Y,https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/48/96/08/4896085e-b550-cb0a-3e5b-1f203521cb82/196922265464_Cover.jpg/300x300bb.jpg,chart:apple|chart:line|youtube,active,apple|line|youtube,2026-07-26,2026-08-06
trk_66ce875a9a87,HYBE,ADOR,NewJeans,Supernatural,,chart,,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/ab/ce/d6/abced6f6-2b90-c230-eb4b-e146734a3a22/196922907821_Cover.jpg/300x300bb.jpg,chart:apple,active,apple,2026-07-26,2026-08-06
trk_783e93960328,HYBE,PLEDIS Entertainment,SEVENTEEN,Super,,chart,,,chart:spaceshower,active,spaceshower,2026-07-17,2026-07-17
trk_400b402fcb57,HYBE,PLEDIS Entertainment,SEVENTEEN,THUNDER,,chart,,,chart:spaceshower,active,spaceshower,2026-07-24,2026-07-24
trk_9e203c25def6,HYBE,PLEDIS Entertainment,SEVENTEEN,今 -明日 世界が終わっても-,,chart,,,chart:spaceshower,active,spaceshower,2026-07-17,2026-08-07
trk_05a400bddd7c,HYBE,BIGHIT MUSIC,TOMORROW X TOGETHER,Can't Stop,,chart,,,chart:spaceshower,active,spaceshower,2026-07-17,2026-07-17
trk_062c6d4dcd94,HYBE,BIGHIT MUSIC,TOMORROW X TOGETHER,Nice to Meet Ya,,chart,,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/cj0zdXVuaDZuZzd1czJ0JnM9anA2JnQ9bSZ1PTFsaXE3MHE2bzN1ZzAmaT0w/m470x470,chart:line,active,line,2026-08-04,2026-08-05
trk_a4b211513e27,HYBE,BIGHIT MUSIC,TOMORROW X TOGETHER,Stick With You,,chart,,,chart:spaceshower,active,spaceshower,2026-07-17,2026-07-31
trk_55070a56402f,HYBE,BIGHIT MUSIC,TOMORROW X TOGETHER,ひとつの誓い (We'll Never Change),,chart,,,chart:spaceshower,active,spaceshower,2026-07-17,2026-07-17
trk_220204c45424,HYBE,PLEDIS Entertainment,TWS,OVERDRIVE,,chart,,,chart:spaceshower,active,spaceshower,2026-07-24,2026-08-07
trk_fa777b16938a,HYBE,PLEDIS Entertainment,TWS,SODA SODA,,chart,yHSukG3m0V4,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/cj0tMzJmNGhwdWJ0YWQ4MiZzPWpwNiZ0PW0mdT0xbGo0aDNtbzgza2cwJmk9MA/m470x470,chart:line|youtube,active,line|youtube,2026-08-04,2026-08-05
trk_30568b0e9586,HYBE,PLEDIS Entertainment,TWS,"You, You",,chart,,,chart:spaceshower,active,spaceshower,2026-07-17,2026-07-31
trk_aca3994d74c4,HYBE,PLEDIS Entertainment,TWS,はじめまして,,chart,,,chart:spaceshower,active,spaceshower,2026-07-17,2026-08-07
trk_2b4640732bf3,HYBE,(旧PLEDIS→契約終了),fromis_9,Vitamin ME,,chart,sLk8zWUuYTA,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/db/44/03/db440319-e991-e392-c8a8-750cb0134206/191953562353.jpg/300x300bb.jpg,chart:apple|youtube,active,apple|youtube,2026-07-26,2026-08-06
trk_dabcbff94733,JYP,JYP Entertainment,ITZY,Motto,,chart,_YKYSVXmMdk,,chart:spaceshower|youtube,active,spaceshower|youtube,2026-07-17,2026-07-17
trk_a2fb1362bdaa,JYP,JYP Entertainment,NMIXX,Heavy Serenade,,chart,,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/fe/cd/64/fecd6408-3ace-12b5-7ad7-c5d2ac891168/8809928958262.jpg/300x300bb.jpg,chart:apple,active,apple,2026-07-26,2026-08-06
trk_024baf62e94c,JYP,JYP Entertainment,Stray Kids,CEREMONY,,chart,,,chart:spaceshower,active,spaceshower,2026-07-17,2026-08-07
trk_3041a0d4a319,JYP,JYP Entertainment,Stray Kids,Chk Chk Boom,,chart,,,chart:spaceshower,active,spaceshower,2026-07-17,2026-08-07
trk_28024fd9716a,JYP,JYP Entertainment,Stray Kids,Do It,,chart,,,chart:spaceshower,active,spaceshower,2026-07-17,2026-08-07
trk_50993449092a,JYP,JYP Entertainment,Stray Kids,Hollow,,chart,,,chart:spaceshower,active,spaceshower,2026-07-17,2026-07-17
trk_f051fba3ce0a,JYP,JYP Entertainment,Stray Kids,MANIAC,,chart,,,chart:spaceshower,active,spaceshower,2026-08-07,2026-08-07
trk_9cb460a4ed24,JYP,JYP Entertainment,Stray Kids,RUN IT,,chart,B-yO3eVgl3M,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/cj0tNDlxNHJvOHJpa3F1YyZzPWpwNiZ0PW0mdT0xbDIyYjZ0OXM0OTAwJmk9MA/m470x470,chart:line|youtube,active,line|youtube,2026-07-26,2026-08-05
trk_cdcb042f95b6,JYP,JYP Entertainment,Stray Kids,Scars,,chart,,,chart:spaceshower,active,spaceshower,2026-07-17,2026-07-17
trk_f96b1563eecb,JYP,JYP Entertainment,Stray Kids,Walkin On Water,,chart,,,chart:spaceshower,active,spaceshower,2026-07-17,2026-08-07
trk_798e45bb6d66,JYP,JYP Entertainment,TWICE,Feel Special,,chart,,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/c49f119d19018t0ac4b0d7/m470x470,chart:line,active,line,2026-07-26,2026-08-05
trk_a241180373ba,JYP,JYP Entertainment,TWICE,THIS IS FOR,,chart,tRGj-9aqXg4,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/cj0tMjJqMXMwcGc4Z2g3MiZzPWpwNiZ0PW0mdT0xaGw0NmI4anM0YTAwJmk9MA/m470x470,chart:line|youtube,active,line|youtube,2026-07-26,2026-08-05
trk_6d89c7f070ab,JYP,JYP Entertainment,TWICE,What is Love?,,chart,,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/cj0tNzN1b2NobjhwaTllcCZzPWpwNiZ0PW0mdT0xbDlwZGNnZmM0YzAwJmk9MA/m470x470,chart:line,active,line,2026-07-26,2026-08-02
trk_69c5375146af,OTHER,KQ Entertainment,ATEEZ,BAD,,chart,z0s8bjdJbKI,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/84/f5/fb/84f5fb23-0194-b302-15f7-e768c9029a28/26UMGIM64142.rgb.jpg/300x300bb.jpg,chart:apple|chart:line|chart:spaceshower|youtube,active,apple|line|spaceshower|youtube,2026-07-17,2026-08-07
trk_3487a10937e9,OTHER,Starship Entertainment,IVE,BANG BANG,,chart,rNGPgQB4Be8,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/cj0tMjQ3MnMzYjFycTk5MyZzPWpwNiZ0PW0mdT0xam9vaHMyMnM0cGcwJmk9MA/m470x470,chart:line|youtube,active,line|youtube,2026-07-26,2026-08-05
