date,agency,sub_agency,artist_name,youtube_subscribers,youtube_total_views,youtube_video_count,youtube_channel_thumbnail,wikipedia_pv_ja,wikipedia_pv_en
2026-09-22,OTHER,Starship Entertainment,KiiiKiii,688000,393027562,971,https://yt3.ggpht.com/FiX2XOR3oZDKJFJREEWlK30eZMTGLmRH8J-9XiqGIbDMo8OGviVlczUhr1EiIjdSRyVhr_1L_6c=s88-c-k-c0x00ffffff-no-rj,,
2026-09-22,OTHER,THE MUZE Entertainment,RESCENE,1210000,739884058,1745,https://yt3.ggpht.com/FZA-rWIvn9keS8iE50HqS4SIMpSRBkcht4r2Cp_gw1qndscJfo_X8qbcwEETVdlMLQoQWlkC6A=s88-c-k-c0x00ffffff-no-rj,,
2026-09-22,OTHER,Cube Entertainment,i-dle,9850000,8144703512,2654,https://yt3.ggpht.com/296qkNEuqGTgJt0cg0h4aotQl6rK-ssj0yCxw1w4VmJDVoRpg8uM_LfuWn_wC-ns1feetX6F=s88-c-k-c0x00ffffff-no-rj,,
2026-09-22,OTHER,KQ Entertainment,ATEEZ,5600000,2253984798,2538,https://yt3.ggpht.com/M_RKZsb4YRL8uunqGIlLOT3Qd9nLMbdcdBrOyH3fOi3yLxh0YBH4pTxfydlUv2KktrcKVujzH9o=s88-c-k-c0x00ffffff-no-rj,,
2026-09-22,OTHER,High Up Entertainment,STAYC,1860000,1631112420,2420,https://yt3.ggpht.com/vKgYTLMSvA3y1J6bM5-b2VVT9CW6djwVWlZf0e_CGkoeeoJBgPROgCbbNRoCn7bEkPe3taID=s88-c-k-c0x00ffffff-no-rj,,
2026-09-22,OTHER,WakeOne,Kep1er,2530000,1211775899,1739,https://yt3.ggpht.com/vtGDUQofwdbgV89VQMyUlSNHYru4ioapSAgHebtc6suxoY-tyqiaWGDbrB7H-1muFhy7hDyl=s88-c-k-c0x00ffffff-no-rj,,
2026-09-22,OTHER,RBW,MAMAMOO,6830000,3005154218,1301,https://yt3.ggpht.com/V0y6r38_i7SmDNtJRg_HTwIRl6xKVAWcO-YLEDrmdyVSYa0XaYvRrJQt0SJjJYHuRda8_fGYPt0=s88-c-k-c0x00ffffff-no-rj,,
2026-09-22,OTHER,WakeOne,ZEROBASEONE,2120000,1099713099,2995,https://yt3.ggpht.com/Hg4ZbB2y-VfSy7dijJm5_FZYogifOd7Yc1sBXPz3jjaBznUEgsPXSrULf-WVmzjiCOLOa7o_gg=s88-c-k-c0x00ffffff-no-rj,,
2026-09-22,OTHER,FNC Entertainment,P1Harmony,1770000,539220833,2067,https://yt3.ggpht.com/VwUA1yXC-RrrtLQ3GoOFt9V3DUFkjb3gpTx-fa0qmzVkUZRCrlRUMu2qaRFRJSvI9c0iWnoTxg=s88-c-k-c0x00ffffff-no-rj,,
2026-09-22,OTHER,KQ Entertainment,xikers,1080000,157671849,3160,https://yt3.ggpht.com/QwOOK2KSryFaOkOYbwT8G18wB_P7ouwFmE5wmKzBEizhLKaDX9p5u1G4cWc2o_imOoeDN868wQ=s88-c-k-c0x00ffffff-no-rj,,
2026-09-22,OTHER,Modhaus,tripleS,2960000,879398305,3930,https://yt3.ggpht.com/SrXXO4Xv26MfvG5zcZbhQWfTjRFwhPwwEEV8TN-vvjiTMDZJ6hCATg5-ML-bpCpSeU_jMVmiig=s88-c-k-c0x00ffffff-no-rj,,
2026-09-22,OTHER,C9 Entertainment,CIX,1000000,284641429,1011,https://yt3.ggpht.com/BjgwGDlG91ANs1sgZSKcEqV2g66QytfOh4ZdPQgl1BKs7kRtleuD5Njww4RMrgbpGBB9MvHUJw=s88-c-k-c0x00ffffff-no-rj,,
2026-09-22,OTHER,RBW,ONEUS,1590000,609648245,1767,https://yt3.ggpht.com/lrMrs4M2xdnIkncJwjV9tTq9yG5g50MH_uvNjbqTZSzMDhVAmKctOMNHV22ShZSX1VQ3XhufqA=s88-c-k-c0x00ffffff-no-rj,,
2026-09-22,OTHER,WakeOne,izna,2050000,601535989,1545,https://yt3.ggpht.com/GDw9Cpgb1d2ycbU2hqxd_L8XoALLk7vxhUHJvjfrIFXGDdILrNkbZMxhp9ZuNDX6Z39KJOnaCg=s88-c-k-c0x00ffffff-no-rj,,
2026-09-22,OTHER,VLAST,PLAVE,1200000,887933351,1711,https://yt3.ggpht.com/K75Jh0T2ThrUdVdRBqWiTwohBEiRTlbgG5cK0Fegl1yFYf9ssxz3NTUUkEVO0cM3DHlHuxF4Ww=s88-c-k-c0x00ffffff-no-rj,,
2026-09-22,OTHER,Yuehua Entertainment,YENA,1310000,889654064,827,https://yt3.ggpht.com/G4AFXeSgGCRHNZJildUO0ysnslWcWs743Ft8s5hmY0ubKodCLd4xKxdLEkVqBY38WuiStxyzdg=s88-c-k-c0x00ffffff-no-rj,,
